titles,links
Long-term effects of supportive therapy in periodontal patients treated with fibre retention osseous resective surgery. II: tooth extractions during active and supportive therapy.,https://pubmed.ncbi.nlm.nih.gov/17324156/
[Surgical treatment for periodontitis].,https://pubmed.ncbi.nlm.nih.gov/6963453/
Sodium Hypochlorite as an Adjunct to Nonsurgical Treatment of Periodontitis: A Systematic Review.,https://pubmed.ncbi.nlm.nih.gov/33215480/
"Clinical response of localized recurrent periodontitis treated with scaling, root planing, and tetracycline fiber.",https://pubmed.ncbi.nlm.nih.gov/9700247/
[Multidisciplinary treatment of an advanced periodontal patient. Report of a clinical case].,https://pubmed.ncbi.nlm.nih.gov/3151980/
[Removable splinting apparatus in treatment of periodontal disease].,https://pubmed.ncbi.nlm.nih.gov/4516245/
Surgical Treatment of Furcation Involvement Associated with Recurrence of Aggressive Periodontitis: A Case Report.,https://pubmed.ncbi.nlm.nih.gov/33177273/
Histological evaluation of periodontal probe penetration in untreated facial molar furcations.,https://pubmed.ncbi.nlm.nih.gov/2915048/
Silica dioxide colloidal solutions is efficient in the treatment of chronic periodontitis: a case control study.,https://pubmed.ncbi.nlm.nih.gov/32064845/
[Index recommendations. 2. Indices for the evaluation of gingival and periodontal changes].,https://pubmed.ncbi.nlm.nih.gov/6950585/
Propolis Improves Periodontal Status and Glycemic Control in Patients With Type 2 Diabetes Mellitus and Chronic Periodontitis: A Randomized Clinical Trial.,https://pubmed.ncbi.nlm.nih.gov/27468795/
Is antimicrobial photodynamic therapy an effective treatment for chronic periodontitis in diabetes mellitus and cigarette smokers: a systematic review and meta-analysis.,https://pubmed.ncbi.nlm.nih.gov/28559203/
Correlations between tooth mobility and the Periotest method in periodontally involved teeth.,https://pubmed.ncbi.nlm.nih.gov/23479581/
[Periodontal therapy using 3 treatment modalities--2].,https://pubmed.ncbi.nlm.nih.gov/3865390/
Periodontal disease and cancer: Epidemiologic studies and possible mechanisms.,https://pubmed.ncbi.nlm.nih.gov/32385885/
[Management of furcation involvement (2)].,https://pubmed.ncbi.nlm.nih.gov/362078/
"A double-blind, paralleled-arm, placebo-controlled and randomized clinical trial of the effectiveness of probiotics as an adjunct in periodontal care.",https://pubmed.ncbi.nlm.nih.gov/31479530/
[Darkfield microscopic monitoring of subgingival microorganisms during periodontal therapy].,https://pubmed.ncbi.nlm.nih.gov/2114269/
Periodontal surgery improves oral health-related quality of life in chronic periodontitis patients in Asian population.,https://pubmed.ncbi.nlm.nih.gov/28962824/
[Guided regeneration of the periodontal tissues with resorbable and nonresorbale membranes. I. Clinical evaluation].,https://pubmed.ncbi.nlm.nih.gov/1758414/
Reproducibility of an electronic probe in relative attachment level measurements.,https://pubmed.ncbi.nlm.nih.gov/1447378/
[Evaluation of the effect of quality control circle activities on improving the nursing quality of patients with periodontitis].,https://pubmed.ncbi.nlm.nih.gov/31489425/
Use of air polishing for supra- and subgingival biofilm removal for treatment of residual periodontal pockets and supportive periodontal care: a systematic review.,https://pubmed.ncbi.nlm.nih.gov/33464417/
A randomized four-years study of periodontal therapy.,https://pubmed.ncbi.nlm.nih.gov/7017103/
Effect of root debridement on the elimination of Actinobacillus actinomycetemcomitans and Bacteroides gingivalis from periodontal pockets.,https://pubmed.ncbi.nlm.nih.gov/2204636/
Polymorphonuclear neutrophil chemotaxis in Chinese patients with post-juvenile periodontitis and rapidly progressive periodontitis.,https://pubmed.ncbi.nlm.nih.gov/7904501/
[Periosteal suture in periodontal plastic surgery with particular reference to the apical repositioning of the flaps].,https://pubmed.ncbi.nlm.nih.gov/4932643/
Serum levels of cytokines in subjects with generalized chronic and aggressive periodontitis before and after non-surgical periodontal therapy: a pilot study.,https://pubmed.ncbi.nlm.nih.gov/20192617/
Use of diode laser 980 nm as adjunctive therapy in the treatment of chronic periodontitis. A randomized controlled clinical trial.,https://pubmed.ncbi.nlm.nih.gov/19123307/
Periodontal diagnosis in the context of the 2017 classification system of periodontal diseases and conditions - implementation in clinical practice.,https://pubmed.ncbi.nlm.nih.gov/30631188/
Impact of tooth-related factors on photodynamic therapy effectiveness during active periodontal therapy: A 6-months split-mouth randomized clinical trial.,https://pubmed.ncbi.nlm.nih.gov/31116996/
Relationship of collagenase and cathepsin G activity in gingival crevicular fluid.,https://pubmed.ncbi.nlm.nih.gov/1439526/
Effects of two different methods of non-surgical periodontal therapy on patient perception of pain and quality of life: a randomized controlled clinical trial.,https://pubmed.ncbi.nlm.nih.gov/18533780/
Periodontal self-examination. A motivational tool in periodontics.,https://pubmed.ncbi.nlm.nih.gov/393726/
[Association between Porphyromonas gingivalis and scaling and root planning therapy].,https://pubmed.ncbi.nlm.nih.gov/18605451/
A Comparative Evaluation of Subgingivally Delivered 2% Curcumin and 0.2% Chlorhexidine Gel Adjunctive to Scaling and Root Planing in Chronic Periodontitis.,https://pubmed.ncbi.nlm.nih.gov/32690830/
Efficacy of Subgingivally Delivered 1.2% Atorvastatin in the Treatment of Chronic Periodontitis in Patients With Type 2 Diabetes Mellitus: A Randomized Controlled Clinical Trial.,https://pubmed.ncbi.nlm.nih.gov/27442085/
Tissue regeneration in patients with periodontal disease.,https://pubmed.ncbi.nlm.nih.gov/5216253/
Long-term evaluation of periodontal therapy: II. Incidence of sites breaking down.,https://pubmed.ncbi.nlm.nih.gov/8667129/
Effects of treatment on antibody titer to Porphyromonas gingivalis in gingival crevicular fluid of patients with rapidly progressive periodontitis.,https://pubmed.ncbi.nlm.nih.gov/8393109/
Comparison of two pressure-sensitive periodontal probes and a manual periodontal probe in shallow and deep pockets.,https://pubmed.ncbi.nlm.nih.gov/8181912/
[A rapid diagnosis for periodontitis based on the enzymatic activity of periodontopathic bacteria. The application of the SK-013 to the judgement on the effect of initial preparation].,https://pubmed.ncbi.nlm.nih.gov/2133687/
Non-surgical pocket therapy: dental occlusion.,https://pubmed.ncbi.nlm.nih.gov/9118270/
[Effects of periodontal-pulp combined therapy on severe periodontitis].,https://pubmed.ncbi.nlm.nih.gov/25338798/
Evaluation of clinical and microbiological measures to predict treatment response in severe periodontitis.,https://pubmed.ncbi.nlm.nih.gov/2955106/
Where is the pocket? Pocket depth vs. clinical attachment level.,https://pubmed.ncbi.nlm.nih.gov/1812924/
The periodontal implications of flap design in lower third molar extractions.,https://pubmed.ncbi.nlm.nih.gov/5271292/
Diabetes glycemic control and periodontitis: underappreciated role of surgery.,https://pubmed.ncbi.nlm.nih.gov/20971385/
[Free gingival graft for treatment of periodontal disease ---use of periodontal materials (1) (author's transl)].,https://pubmed.ncbi.nlm.nih.gov/6943719/
Intrapocket application of tea tree oil gel in the treatment of stage 2 periodontitis.,https://pubmed.ncbi.nlm.nih.gov/33952216/
Gingival curettage study comparing a laser treatment to hand instruments.,https://pubmed.ncbi.nlm.nih.gov/19789937/
How effective is surgical therapy compared with nonsurgical debridement?,https://pubmed.ncbi.nlm.nih.gov/15655026/
[Clinical use of a computerized periodontal probe (Florida Probe System)].,https://pubmed.ncbi.nlm.nih.gov/1742493/
Reproducibility of automated periodontal probing around teeth and osseointegrated oral implants.,https://pubmed.ncbi.nlm.nih.gov/9555204/
Does the adjunctive use of statins provide additional benefits to nonsurgical periodontal treatment? A systematic review and meta-analysis.,https://pubmed.ncbi.nlm.nih.gov/28872188/
"Effect of scaling and root planing on erythrocyte count, hemoglobin and hematocrit in patients with chronic periodontal disease.",https://pubmed.ncbi.nlm.nih.gov/22947842/
[Effect of water irrigation procedures on the microflora in periodontal pockets].,https://pubmed.ncbi.nlm.nih.gov/6592810/
The distal wedge operation in periodontal therapy; a two year evaluation.,https://pubmed.ncbi.nlm.nih.gov/4507660/
Status of diagnostic techniques to detect progressive periodontitis.,https://pubmed.ncbi.nlm.nih.gov/9611458/
Local antimicrobials.,https://pubmed.ncbi.nlm.nih.gov/26409979/
An analysis of the vascular supply of pedicle grafts.,https://pubmed.ncbi.nlm.nih.gov/4254948/
Utility of Ramfjord index teeth to assess periodontal disease progression in longitudinal studies.,https://pubmed.ncbi.nlm.nih.gov/8436634/
Case report: treatment of amlodipine associated gingival overgrowth in periodontitis patients.,https://pubmed.ncbi.nlm.nih.gov/12524730/
Efficacy of adjunctive low-level laser therapy in the treatment of aggressive periodontitis: A systematic review.,https://pubmed.ncbi.nlm.nih.gov/30198204/
[Comparative clinical study of modified Widman flap and incisional curettage techniques].,https://pubmed.ncbi.nlm.nih.gov/2637025/
Alpha-2-Macroglobulin Levels in Gingival Crevicular Fluid Pre- and Post-scaling and Root Planing with Adjunctive Tetracycline Fibers in Chronic Periodontitis: A Randomized Controlled Trial.,https://pubmed.ncbi.nlm.nih.gov/26323451/
Effect of periodontal therapy on lactoferrin levels in gingival crevicular fluid.,https://pubmed.ncbi.nlm.nih.gov/24913177/
[Modified Widman flap and subgingival curettage. A clinical comparative study].,https://pubmed.ncbi.nlm.nih.gov/3461982/
Periodontal disease in cats: back to basics--with an eye on the future.,https://pubmed.ncbi.nlm.nih.gov/25527493/
"Clinical, microbiological and cytomorphometric evaluation of low-level laser therapy as an adjunct to periodontal therapy in patients with chronic periodontitis.",https://pubmed.ncbi.nlm.nih.gov/29327449/
Periodontal diseases: prevention.,https://pubmed.ncbi.nlm.nih.gov/9118259/
Total proteoglycan and chondroitin-4-sulfate levels in gingiva of patients with various types of periodontitis.,https://pubmed.ncbi.nlm.nih.gov/15088877/
[Posterior bite collapse. 2. Therapeutic proposals].,https://pubmed.ncbi.nlm.nih.gov/2072268/
Surgical periodontal therapy.,https://pubmed.ncbi.nlm.nih.gov/11155184/
[Effect of temporary dental splinting on the function of the maxillodental system in periodontal diseases].,https://pubmed.ncbi.nlm.nih.gov/3859062/
Efficacy of Er:YAG laser in the treatment of chronic periodontitis: systematic review and meta-analysis.,https://pubmed.ncbi.nlm.nih.gov/21553003/
A 2-year study of adjunctive minocycline-HCl in Actinobacillus actinomycetemcomitans-associated periodontitis.,https://pubmed.ncbi.nlm.nih.gov/8336251/
Recognizing periodontitis using the mesial system.,https://pubmed.ncbi.nlm.nih.gov/6577164/
Long-term clinical effects of a chlorhexidine varnish implemented treatment strategy for chronic periodontitis.,https://pubmed.ncbi.nlm.nih.gov/16512755/
Do adjunctive statins improve periodontal treatment outcomes in patients with chronic periodontitis?,https://pubmed.ncbi.nlm.nih.gov/30903122/
The importance of periodontal pathogens in guided periodontal tissue regeneration and guided bone regeneration.,https://pubmed.ncbi.nlm.nih.gov/8603308/
Tetracycline gel as an adjunct to surgical root debridement.,https://pubmed.ncbi.nlm.nih.gov/18686768/
New dimensions in guided tissue regeneration treatment modalities for profound marginal periodontitis.,https://pubmed.ncbi.nlm.nih.gov/7558661/
Periodontal probing and the relationship of the probe tip to periodontal tissues.,https://pubmed.ncbi.nlm.nih.gov/1067404/
Full-mouth ultrasonic debridement and risk of disease recurrence: a 1-year follow-up.,https://pubmed.ncbi.nlm.nih.gov/16856900/
[Periodontal abscess].,https://pubmed.ncbi.nlm.nih.gov/4504789/
Five-year retrospective study of laser-assisted periodontal therapy.,https://pubmed.ncbi.nlm.nih.gov/23220310/
Surgical periodontal pocket elimination: still a justifiable objective?,https://pubmed.ncbi.nlm.nih.gov/3543089/
Full mouth disinfection versus quadrant debridement: the clinician's choice.,https://pubmed.ncbi.nlm.nih.gov/18333594/
Endoscopic periodontal debridement.,https://pubmed.ncbi.nlm.nih.gov/23659103/
[Changes in radiopacity of the alveolar bone after scaling].,https://pubmed.ncbi.nlm.nih.gov/6373970/
"Clinical studies on juvenile, rapidly progressive and adult periodontitis before and after periodontal therapy (I).",https://pubmed.ncbi.nlm.nih.gov/1308775/
Clinical and microbiological effects of root debridement in periodontal furcation pockets.,https://pubmed.ncbi.nlm.nih.gov/3053787/
Bone allografts in periodontal therapy.,https://pubmed.ncbi.nlm.nih.gov/8595746/
[Hard to heal granulation tissue inside the pocket of marginal periodontitis. Management of periodontitis].,https://pubmed.ncbi.nlm.nih.gov/3894807/
"Adjunctive use of InGaAsP and Er,Cr:YSGG lasers in nonsurgical periodontal therapy: a randomized controlled clinical study.",https://pubmed.ncbi.nlm.nih.gov/31111123/
[Periodontal-orthodontic treatment as alternative to extraction].,https://pubmed.ncbi.nlm.nih.gov/1819052/
[Evaluation of ligature-induced periodontitis in minipig].,https://pubmed.ncbi.nlm.nih.gov/9592285/
Comparative evaluation of subgingivally delivered 1.2% rosuvastatin and 1% metformin gel in treatment of intrabony defects in chronic periodontitis: A randomized controlled clinical trial.,https://pubmed.ncbi.nlm.nih.gov/29802627/
[Comparison of subgingival debridement efficacy of air polishing and manual scaling].,https://pubmed.ncbi.nlm.nih.gov/26598197/
Clinical effects of root instrumentation using conventional steel or non-tooth substance removing plastic curettes during supportive periodontal therapy (SPT).,https://pubmed.ncbi.nlm.nih.gov/10589810/
Adjunctive photodynamic therapy to non-surgical treatment of chronic periodontitis: a systematic review and meta-analysis.,https://pubmed.ncbi.nlm.nih.gov/23557433/
[Subgingival irrigation: a heresy?].,https://pubmed.ncbi.nlm.nih.gov/9011368/
Effects of tetracycline-containing gel and a mixture of tetracycline and citric acid-containing gel on non-surgical periodontal therapy.,https://pubmed.ncbi.nlm.nih.gov/23852233/
Higher intakes of flavonoids are associated with lower salivary IL-1beta and maintenance of periodontal health 3-4 years after scaling and root planing.,https://pubmed.ncbi.nlm.nih.gov/31999847/
Prevalence of bleeding on probing: a cohort study in a specialist periodontal clinic.,https://pubmed.ncbi.nlm.nih.gov/21206934/
The evaluation of chorionic membrane in guided tissue regeneration for periodontal pocket therapy: a clinical and radiographic study.,https://pubmed.ncbi.nlm.nih.gov/23839254/
"Systemic use of metronidazole in the treatment of chronic periodontitis: a pilot study using clinical, microbiological, and enzymatic evaluation.",https://pubmed.ncbi.nlm.nih.gov/15311314/
Periodontal dressing may influence the clinical outcome of non-surgical periodontal treatment: a split-mouth study.,https://pubmed.ncbi.nlm.nih.gov/21672162/
Changes in vasoactive intestinal peptide in gingival crevicular fluid in response to periodontal treatment.,https://pubmed.ncbi.nlm.nih.gov/12296773/
A comparison of the effectiveness of hand scaling and ultrasonic debridement in furcations as evaluated by differential dark-field microscopy.,https://pubmed.ncbi.nlm.nih.gov/3546672/
Effects of blunt scaling on periodontal status and subgingival microorganisms. A pilot study.,https://pubmed.ncbi.nlm.nih.gov/8209214/
Immediate post-operative effects of different periodontal treatment modalities on oral health-related quality of life: a randomized clinical trial.,https://pubmed.ncbi.nlm.nih.gov/17716314/
[Gingival curettage].,https://pubmed.ncbi.nlm.nih.gov/5289547/
[Valacyclovir as an adjunct to full-mouth scaling and root planing of advanced chronic periodontitis:a randomized clinical trail].,https://pubmed.ncbi.nlm.nih.gov/24608624/
Bleeding on probing and pocket probing depth in relation to probing pressure and mucosal health around oral implants.,https://pubmed.ncbi.nlm.nih.gov/19126110/
Immunoglobulin isotype distribution of locally produced autoantibodies to collagen type I in adult periodontitis. Relationship to periodontal treatment.,https://pubmed.ncbi.nlm.nih.gov/1960239/
"A pilot study of Er,Cr:YSGG laser therapy used as an adjunct to scaling and root planing in patients with early and moderate periodontitis.",https://pubmed.ncbi.nlm.nih.gov/17449974/
Bacterial proteases in gingival crevicular fluid before and after periodontal treatment.,https://pubmed.ncbi.nlm.nih.gov/7893545/
Effect of non-surgical periodontal therapy on salivary metabolic fingerprint of generalized chronic periodontitis using nuclear magnetic resonance spectroscopy.,https://pubmed.ncbi.nlm.nih.gov/30396039/
[Removable partial denture in dentition with damaged periodontium].,https://pubmed.ncbi.nlm.nih.gov/4512722/
Iron overload and periodontal status in patients with sickle cell anaemia: A case series.,https://pubmed.ncbi.nlm.nih.gov/32189376/
Effectiveness of metronidazole as an adjunct to scaling and root planing in the treatment of chronic periodontitis: a systematic review and meta-analysis.,https://pubmed.ncbi.nlm.nih.gov/23668676/
The effects of periodontal therapy on serum and salivary leptin levels in chronic periodontitis patients with normal body mass index.,https://pubmed.ncbi.nlm.nih.gov/25854413/
[Synoptic treatment planning (I)].,https://pubmed.ncbi.nlm.nih.gov/2772592/
Systemic antibiotics in the treatment of aggressive periodontitis. A systematic review and a Bayesian Network meta-analysis.,https://pubmed.ncbi.nlm.nih.gov/26087839/
Collagen III aminoterminal propeptide in gingival crevicular fluid before and after periodontal treatment.,https://pubmed.ncbi.nlm.nih.gov/1574675/
Subgingival curettage.,https://pubmed.ncbi.nlm.nih.gov/5258474/
Aggressive periodontitis: how does an understanding of the pathogenesis affect treatment?,https://pubmed.ncbi.nlm.nih.gov/22128629/
[Periodontal therapy. II. The possible interpretations of the therapeutic results from surgical and nonsurgical treatment].,https://pubmed.ncbi.nlm.nih.gov/2195315/
[Direct application of fiber-reinforced composites in splinting in a case of periodontitis. II].,https://pubmed.ncbi.nlm.nih.gov/12666393/
Treatment of localized juvenile periodontitis. Results after 5 years.,https://pubmed.ncbi.nlm.nih.gov/6378984/
Effect of increased community and professional awareness of plaque control on the management of inflammatory periodontal diseases.,https://pubmed.ncbi.nlm.nih.gov/9779110/
EFFECTIVENESS OF A WATER PRESSURE CLEANSING DEVICE.,https://pubmed.ncbi.nlm.nih.gov/14315363/
[Clinical evaluation of periodontal diseases].,https://pubmed.ncbi.nlm.nih.gov/6964497/
Lasers in periodontics: a review of the literature.,https://pubmed.ncbi.nlm.nih.gov/16584335/
Role of diode lasers (800-980 nm) as adjuncts to scaling and root planing in the treatment of chronic periodontitis: a systematic review.,https://pubmed.ncbi.nlm.nih.gov/26436596/
High serum procalcitonin levels in patients with periodontitis and chronic migraine.,https://pubmed.ncbi.nlm.nih.gov/29520793/
Measurement of the millimeter markings of periodontal probes.,https://pubmed.ncbi.nlm.nih.gov/290788/
[Effect of the frequency of maintenance therapy on patients treated for gingivitis and incipient marginal periodontitis].,https://pubmed.ncbi.nlm.nih.gov/2075268/
Effectiveness of scaling and root planning with and without adjunct antimicrobial photodynamic therapy in the treatment of chronic periodontitis among cigarette-smokers and never-smokers: A randomized controlled clinical trial.,https://pubmed.ncbi.nlm.nih.gov/30625398/
"Correlation between probing pocket depth and neutrophil counts in dental plaque, saliva, and gingival crevicular fluid.",https://pubmed.ncbi.nlm.nih.gov/22257872/
Evaluation of Clinical Periodontal Indices and Serum Interleukin-27 by One-stage Full-mouth Disinfection and Quadrant Scaling and Root Planing in Periodontitis.,https://pubmed.ncbi.nlm.nih.gov/30150504/
Clinical and radiographic evaluation of intrabony periodontal defect treatment by open flap debridement alone or in combination with nanocrystalline hydroxyapatite bone substitute.,https://pubmed.ncbi.nlm.nih.gov/22727935/
Failure of adjunctive minocycline-HCl to eliminate oral Actinobacillus actinomycetemcomitans.,https://pubmed.ncbi.nlm.nih.gov/8354724/
A metaproteomic approach to the study of pathogenesis of periodontitis--current opinions in periodontology.,https://pubmed.ncbi.nlm.nih.gov/20593632/
[Therapy of inflammatory periodontal disease: muco-gingival surgery].,https://pubmed.ncbi.nlm.nih.gov/6960405/
Shifting paradigms in periodontal disease. Implications for prevention in the elderly.,https://pubmed.ncbi.nlm.nih.gov/10826023/
"Systemic effects of periodontitis treatment in patients with type 2 diabetes: a 12 month, single-centre, investigator-masked, randomised trial.",https://pubmed.ncbi.nlm.nih.gov/30472992/
Clinical Case Report on Treatment of Generalized Aggressive Periodontitis: 5-Year Follow-up.,https://pubmed.ncbi.nlm.nih.gov/25909527/
Treatment of experimental periodontitis in rats using repeated adjunctive antimicrobial photodynamic therapy.,https://pubmed.ncbi.nlm.nih.gov/22526974/
The reliability of pocket probing around screw-type implants.,https://pubmed.ncbi.nlm.nih.gov/8597621/
Autogenous bone and platelet-rich plasma (PRP) in the treatment of intrabony defects.,https://pubmed.ncbi.nlm.nih.gov/17458055/
Enamel matrix derivative in periodontal reconstructive surgery. A new approach in periodontal regeneration.,https://pubmed.ncbi.nlm.nih.gov/11310094/
Treatment of the symptomatic periodontal lesions.,https://pubmed.ncbi.nlm.nih.gov/5249428/
A rationale for the surgical treatment of inflammatory periodontal disease.,https://pubmed.ncbi.nlm.nih.gov/3897490/
Dynamics of provisionalization in advanced periodontal prosthesis cases.,https://pubmed.ncbi.nlm.nih.gov/8221752/
Effect of experimentally induced marginal periodontitis and periodontal scaling on the dental pulp.,https://pubmed.ncbi.nlm.nih.gov/97332/
Treatment of periodontitis: key principles include removing subgingival bacterial deposits; providing a local environment and education to support good home care; providing regular professional maintenance.,https://pubmed.ncbi.nlm.nih.gov/24773135/
[Clinical evaluation of periodontal-orthodontic treatment in patients with aggressive periodontitis and malocclusion].,https://pubmed.ncbi.nlm.nih.gov/28203005/
Galvanoforming for large-span fixed restorations in the treatment of periodontally compromised patients.,https://pubmed.ncbi.nlm.nih.gov/16939014/
Full mouth versus quadrant treatment in chronic periodontitis.,https://pubmed.ncbi.nlm.nih.gov/25198643/
What is the role of nonsurgical periodontal therapy?,https://pubmed.ncbi.nlm.nih.gov/9509004/
Longitudinal evaluation of periodontal therapy.,https://pubmed.ncbi.nlm.nih.gov/6941326/
An evaluation of basic periodontal therapy using sonic and ultrasonic scalers.,https://pubmed.ncbi.nlm.nih.gov/3543066/
Association of smoking with periodontal treatment needs.,https://pubmed.ncbi.nlm.nih.gov/2366143/
Clinical effects of simultaneous ultrasonic scaling and subgingival irrigation with chlorhexidine. Mediating influence of periodontal probing depth.,https://pubmed.ncbi.nlm.nih.gov/1447385/
Adjunctive Use of Chlorhexidine Mouthwash to Nonsurgical Periodontal Therapy May Enhance Periodontal Pocket Depth Reduction.,https://pubmed.ncbi.nlm.nih.gov/30514454/
Longitudinal measurements of sulcular fluid flow after debridement of deep pockets.,https://pubmed.ncbi.nlm.nih.gov/7048300/
Improved technique for periodontal dressing retention.,https://pubmed.ncbi.nlm.nih.gov/4501909/
Within-mouth correlations and reliabilities for probing depth and attachment level.,https://pubmed.ncbi.nlm.nih.gov/3476716/
[Perioprosthodontics (II)].,https://pubmed.ncbi.nlm.nih.gov/2263940/
Efficiency of nonsurgical periodontal therapy in moderate chronic periodontitis.,https://pubmed.ncbi.nlm.nih.gov/25181848/
Silica solutions (SL) is efficacy in the treatment of chronic periodontitis: a case control study.,https://pubmed.ncbi.nlm.nih.gov/32064852/
[Periodontal treatment needs in Central and Eastern Europe].,https://pubmed.ncbi.nlm.nih.gov/15631046/
Antimicrobial photodynamic therapy-A discovery originating from the pre-antibiotic era in a novel periodontal therapy.,https://pubmed.ncbi.nlm.nih.gov/26497443/
"Ultrasonics: a practice-building, work-saving adjunct to the practice of periodontics.",https://pubmed.ncbi.nlm.nih.gov/5249435/
Effects of Er:YAG laser compared to ultrasonic scaler in periodontal treatment: a 2-year follow-up split-mouth clinical study.,https://pubmed.ncbi.nlm.nih.gov/17608573/
[Permanent combined plastic-wire splinting in advanced periodontitis marginalis profunda].,https://pubmed.ncbi.nlm.nih.gov/5216056/
[The effect of pulsed Nd:YAG laser used as an adjunct to subgingival scaling and root planning].,https://pubmed.ncbi.nlm.nih.gov/14513587/
Periodontal probing depth measurement: a review.,https://pubmed.ncbi.nlm.nih.gov/19263761/
The use of hand instruments in supportive periodontal treatment.,https://pubmed.ncbi.nlm.nih.gov/9567997/
[Assessment of autonomic nervous system function in patients with generalized periodontitis].,https://pubmed.ncbi.nlm.nih.gov/2588273/
Plasma and crevicular fluid osteopontin levels in periodontal health and disease.,https://pubmed.ncbi.nlm.nih.gov/17760823/
"[Effects of Er, Cr: YSGG laser on the root surface of periodontitis and healthy teeth].",https://pubmed.ncbi.nlm.nih.gov/26885911/
The use of plaster of paris in treating infrabony periodontal defects in humans.,https://pubmed.ncbi.nlm.nih.gov/5288563/
Gingival crevicular fluid resistin levels in chronic periodontitis with type 2 diabetes before and after non-surgical periodontal therapy: A clinico-biochemical study.,https://pubmed.ncbi.nlm.nih.gov/30900656/
Effects of smoking on clinical parameters and the gingival crevicular fluid levels of IL-6 and TNF-alpha in patients with chronic periodontitis.,https://pubmed.ncbi.nlm.nih.gov/15016034/
[Possibilities and limitation of the conservative treatment of pockets].,https://pubmed.ncbi.nlm.nih.gov/5216092/
Comparison of results following three modalities of periodontal therapy related to tooth type and initial pocket depth.,https://pubmed.ncbi.nlm.nih.gov/6988468/
Microcirculation and somatosensory profiling of patients with periodontitis: a preliminary case control report.,https://pubmed.ncbi.nlm.nih.gov/32613435/
Salivary visfatin concentrations in patients with chronic periodontitis: An analysis before and after periodontal therapy.,https://pubmed.ncbi.nlm.nih.gov/31939362/
Referring periodontal patients: clinical decision making by dental and dental hygiene students.,https://pubmed.ncbi.nlm.nih.gov/24609346/
The Efficacy of Adjunctive Aids in Periodontal Maintenance Therapy: A Systematic Literature Review and Meta-analysis.,https://pubmed.ncbi.nlm.nih.gov/33215481/
Polyhexamethylene guanidine phosphate irrigation as an adjunctive to scaling and root planing in the treatment of chronic periodontitis.,https://pubmed.ncbi.nlm.nih.gov/30632852/
Actinobacillus actinomycetemcomitans in families afflicted with periodontitis.,https://pubmed.ncbi.nlm.nih.gov/2231231/
The Effect of Nonsurgical Periodontal Therapy on the Level of Human Neutrophil Peptides 1-3 in Patients with Aggressive Periodontitis.,https://pubmed.ncbi.nlm.nih.gov/28944351/
Effects of food supplements on periodontal status and local and systemic inflammation after nonoperative periodontal treatment.,https://pubmed.ncbi.nlm.nih.gov/30930356/
Effect of local probiotic (Lactobacillus reuteri) vs systemic antibiotic therapy as an adjunct to non-surgical periodontal treatment in chronic periodontitis.,https://pubmed.ncbi.nlm.nih.gov/30663271/
Bacterial morphotypes and early cellular responses in clinically infected and non-infected sites after combination therapy of guided tissue regeneration and allograft.,https://pubmed.ncbi.nlm.nih.gov/10709342/
"Single-visit, full-mouth ultrasonic debridement: a paradigm shift in periodontal therapy?",https://pubmed.ncbi.nlm.nih.gov/15966879/
"[Periodontal treatment needs in selected group of adults, as assessed with CPITN].",https://pubmed.ncbi.nlm.nih.gov/3248397/
"Proposing a Novel, Three-level Definition of Periodontitis using Probing Depth, Clinical Attachment Loss and Bleeding on Probing: Analysis of a Rural Chinese Population.",https://pubmed.ncbi.nlm.nih.gov/28573262/
[Guided regeneration of the periodontal tissues with resorbable and nonresorbable membranes. II. Microbiological evaluation].,https://pubmed.ncbi.nlm.nih.gov/1758415/
A blending of prosthetic and surgical technique in mucogingival surgery.,https://pubmed.ncbi.nlm.nih.gov/5261645/
Application value of combination therapy of periodontal curettage and root planing on moderate-to-severe chronic periodontitis in patients with type 2 diabetes.,https://pubmed.ncbi.nlm.nih.gov/33832490/
A 6-month multi-center evaluation of adjunctive tetracycline fiber therapy used in conjunction with scaling and root planing in maintenance patients: clinical results.,https://pubmed.ncbi.nlm.nih.gov/7608845/
Dramatic misalignment of maxillary anterior teeth and generalized destruction of bone and periodontal tissue.,https://pubmed.ncbi.nlm.nih.gov/9550077/
[Questions about surgical therapy of periodontal disease].,https://pubmed.ncbi.nlm.nih.gov/292084/
The use of the rubber dam in root planing.,https://pubmed.ncbi.nlm.nih.gov/5216818/
[Follow-up studies on patients treated for gingivitis].,https://pubmed.ncbi.nlm.nih.gov/4583395/
A study of periodontal pocket depths.,https://pubmed.ncbi.nlm.nih.gov/6599444/
The effect of quitting smoking on chronic periodontitis.,https://pubmed.ncbi.nlm.nih.gov/15998271/
[Periodontitis--a ubiquitous illness].,https://pubmed.ncbi.nlm.nih.gov/9844265/
Changes in subgingival microflora and humoral immune response following periodontal therapy.,https://pubmed.ncbi.nlm.nih.gov/11442741/
The effect of post-surgical flap placement on probing depth and attachment level: a 2-year longitudinal study.,https://pubmed.ncbi.nlm.nih.gov/7990022/
Changes in apolipoprotein B and oxidized low-density lipoprotein levels in gingival crevicular fluids as a result of periodontal tissue conditions.,https://pubmed.ncbi.nlm.nih.gov/28233905/
Total anti-oxidant capacity of saliva in chronic periodontitis patients before and after periodontal treatment.,https://pubmed.ncbi.nlm.nih.gov/26032054/
Periodontal dressing (Vocopac) influences outcomes in a two-step treatment procedure.,https://pubmed.ncbi.nlm.nih.gov/15811058/
